TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype
ATL,2023-10-25,@CHA,"COLLINS, ZACH",33,27,13,4,9,3,0,1,0,12,14,0.8571428571428571,1,2,0.5,2,4,0.5,2,CHA,0,44,,120,105,NA,W,REG
ATL,2023-10-25,@CHA,"ADEBAYO, BAM",38,22,10,1,9,4,0,0,1,11,15,0.7333333333333333,0,0,NA,0,0,NA,1,CHA,0,36,,120,105,NA,W,REG
ATL,2023-10-25,@CHA,"VANDERBILT, JARRED",34,16,9,4,5,5,0,0,4,7,14,0.5,1,5,0.2,1,3,0.3333333333333333,0,CHA,0,30,,120,105,NA,W,REG
ATL,2023-10-25,@CHA,"YOUNG, TRAE",32,13,0,0,0,12,0,0,2,4,13,0.3076923076923077,1,4,0.25,4,4,1,1,CHA,0,25,,120,105,NA,W,REG
ATL,2023-10-25,@CHA,"MURRAY, DEJOUNTE",34,11,2,0,2,6,2,0,2,4,10,0.4,0,1,0,3,3,1,2,CHA,0,21,,120,105,NA,W,REG
ATL,2023-10-25,@CHA,"ANTHONY, COLE",18,10,2,0,2,1,3,0,2,3,6,0.5,2,3,0.6666666666666666,2,2,1,3,CHA,0,16,,120,105,23.44535519125683,W,REG
ATL,2023-10-25,@CHA,"BANTON, DALANO",12,7,0,0,0,3,1,0,0,2,5,0.4,1,3,0.3333333333333333,2,3,0.6666666666666666,0,CHA,0,11,,120,105,NA,W,REG
ATL,2023-10-25,@CHA,"HAUSER, SAM",12,6,2,0,2,3,0,0,0,2,4,0.5,2,4,0.5,0,0,NA,1,CHA,0,11,,120,105,NA,W,REG
ATL,2023-10-25,@CHA,"BITADZE, GOGA",15,4,4,3,1,0,1,0,2,1,2,0.5,0,0,NA,2,2,1,3,CHA,0,9,,120,105,NA,W,REG
ATL,2023-10-25,@CHA,"SHEPPARD, BEN",12,4,2,1,1,1,0,0,1,2,5,0.4,0,2,0,0,0,NA,1,CHA,0,7,,120,105,NA,W,REG
ATL,2023-10-27,NYK,"MURRAY, DEJOUNTE",37,26,5,0,5,4,0,1,1,9,23,0.391304347826087,1,4,0.25,7,8,0.875,0,NYK,0,36,,119,109,NA,W,REG
ATL,2023-10-27,NYK,"YOUNG, TRAE",34,23,5,1,4,9,0,1,3,10,21,0.47619047619047616,1,7,0.14285714285714285,2,2,1,5,NYK,0,38,,119,109,NA,W,REG
ATL,2023-10-27,NYK,"ADEBAYO, BAM",39,23,15,4,11,8,1,1,0,9,14,0.6428571428571429,1,1,1,4,6,0.6666666666666666,1,NYK,0,48,,119,109,NA,W,REG
ATL,2023-10-27,NYK,"VANDERBILT, JARRED",32,17,4,1,3,1,0,0,1,6,10,0.6,1,1,1,4,5,0.8,1,NYK,0,22,,119,109,NA,W,REG
ATL,2023-10-27,NYK,"ANTHONY, COLE",15,10,2,0,2,3,0,0,0,4,8,0.5,2,4,0.5,0,0,NA,2,NYK,0,15,,119,109,23.450819672131146,W,REG
ATL,2023-10-27,NYK,"COLLINS, ZACH",32,6,10,2,8,0,0,0,0,3,4,0.75,0,1,0,0,0,NA,1,NYK,0,16,,119,109,NA,W,REG
ATL,2023-10-27,NYK,"HAUSER, SAM",13,5,5,1,4,2,0,0,1,2,2,1,1,1,1,0,0,NA,0,NYK,0,12,,119,109,NA,W,REG
ATL,2023-10-27,NYK,"BANTON, DALANO",10,5,1,0,1,2,0,0,0,1,7,0.14285714285714285,1,3,0.3333333333333333,2,2,1,0,NYK,0,8,,119,109,NA,W,REG
ATL,2023-10-27,NYK,"BITADZE, GOGA",16,2,4,2,2,0,1,4,1,1,1,1,0,0,NA,0,0,NA,1,NYK,0,11,,119,109,NA,W,REG
ATL,2023-10-27,NYK,"SHEPPARD, BEN",12,2,2,0,2,3,0,0,1,1,6,0.16666666666666666,0,1,0,0,0,NA,0,NYK,0,7,,119,109,NA,W,REG
ATL,2023-10-29,@MIL,"YOUNG, TRAE",36,30,2,0,2,7,0,0,3,10,16,0.625,5,10,0.5,5,7,0.7142857142857143,3,MIL,0,39,,119,110,NA,W,REG
ATL,2023-10-29,@MIL,"VANDERBILT, JARRED",32,18,6,2,4,4,3,0,1,8,17,0.47058823529411764,1,7,0.14285714285714285,1,5,0.2,2,MIL,0,31,,119,110,NA,W,REG
ATL,2023-10-29,@MIL,"MURRAY, DEJOUNTE",36,17,5,0,5,4,4,0,4,7,13,0.5384615384615384,1,3,0.3333333333333333,2,3,0.6666666666666666,3,MIL,0,30,,119,110,NA,W,REG
ATL,2023-10-29,@MIL,"ADEBAYO, BAM",40,14,13,3,10,6,2,1,3,5,16,0.3125,0,1,0,4,5,0.8,4,MIL,0,36,,119,110,NA,W,REG
ATL,2023-10-29,@MIL,"COLLINS, ZACH",31,11,9,2,7,2,0,1,0,4,5,0.8,2,3,0.6666666666666666,1,2,0.5,4,MIL,0,23,,119,110,NA,W,REG
ATL,2023-10-29,@MIL,"BITADZE, GOGA",17,8,3,3,0,0,1,2,2,3,6,0.5,0,1,0,2,2,1,2,MIL,0,14,,119,110,NA,W,REG
ATL,2023-10-29,@MIL,"BANTON, DALANO",14,8,1,0,1,4,0,0,1,3,6,0.5,1,3,0.3333333333333333,1,2,0.5,2,MIL,0,13,,119,110,NA,W,REG
ATL,2023-10-29,@MIL,"ANTHONY, COLE",18,7,3,1,2,2,0,1,0,2,4,0.5,1,1,1,2,2,1,4,MIL,0,13,,119,110,23.456284153005466,W,REG
ATL,2023-10-29,@MIL,"HAUSER, SAM",14,3,3,0,3,2,0,0,0,1,3,0.3333333333333333,1,3,0.3333333333333333,0,0,NA,1,MIL,0,8,,119,110,NA,W,REG
ATL,2023-10-29,@MIL,"SHEPPARD, BEN",1,3,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,NA,0,MIL,0,4,,119,110,NA,W,REG
ATL,2023-10-29,@MIL,"SLAWSON, JALEN",1,0,0,0,0,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,MIL,0,1,,119,110,NA,W,REG
ATL,2023-10-30,MIN,"YOUNG, TRAE",34,30,2,0,2,12,1,0,2,11,17,0.6470588235294118,4,9,0.4444444444444444,4,5,0.8,1,MIN,0,45,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"ADEBAYO, BAM",38,24,12,3,9,3,0,1,1,12,24,0.5,0,1,0,0,0,NA,5,MIN,0,40,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"COLLINS, ZACH",29,13,7,0,7,0,2,2,2,5,10,0.5,3,6,0.5,0,0,NA,6,MIN,0,24,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"ANTHONY, COLE",21,13,4,1,3,3,0,0,0,4,10,0.4,2,5,0.4,3,5,0.6,0,MIN,0,20,,117,127,23.459016393442624,L,REG
ATL,2023-10-30,MIN,"BANTON, DALANO",28,12,4,1,3,4,2,2,2,5,10,0.5,2,4,0.5,0,0,NA,5,MIN,0,24,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"MURRAY, DEJOUNTE",24,10,1,0,1,1,2,0,4,4,4,1,0,0,NA,2,2,1,5,MIN,0,14,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"BITADZE, GOGA",27,7,9,4,5,2,0,2,2,3,7,0.42857142857142855,1,2,0.5,0,0,NA,4,MIN,0,20,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"HAUSER, SAM",23,6,1,0,1,3,0,0,0,1,5,0.2,1,5,0.2,3,3,1,3,MIN,0,10,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"JOHNSON, KEON",13,2,1,0,1,2,0,0,1,1,5,0.2,0,2,0,0,0,NA,1,MIN,0,5,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"SIMS, JERICHO",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,MIN,0,0,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"MAMUKELASHVILI, SANDRO",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,MIN,0,0,,117,127,NA,L,REG
ATL,2023-10-30,MIN,"WILSON, JALEN",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,MIN,0,0,,117,127,NA,L,REG
ATL,2023-11-01,WAS,"ADEBAYO, BAM",36,19,15,5,10,3,0,1,1,9,18,0.5,0,2,0,1,2,0.5,4,WAS,0,38,,100,135,NA,L,REG
